Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Age,Phases,Funded Bys,Study Type,Study Designs,Locations,Study Documents,URL
42,NCT01269034,New Onset Type 1 Diabetes: Role of Exenatide,Completed,Has Results,Type 1 Diabetes,Drug: Exenatide|Drug: Rapid and long acting insulin|Drug: long acting insulin + rapid acting + 1.25 mcg Exenatide,Albert Einstein College of Medicine|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"12 Years to 18 Years   (Child, Adult)",Phase 4,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"Albert Einstein CRC- West Campus, Bronx, New York, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/34/NCT01269034/Prot_000.pdf",https://ClinicalTrials.gov/show/NCT01269034
43,NCT02407132,Family Model of Diabetes Self-Management Education in the Marshallese Community,Completed,Has Results,Diabetes,Behavioral: Adapted DSME|Behavioral: Standard DSME,University of Arkansas|Patient-Centered Outcomes Research Institute,"18 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,"University of Arkansas for Medical Sciences Northwest, Fayetteville, Arkansas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT02407132/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02407132
44,NCT03159299,Yo Puedo! Diabetes Self-Management Education + mHealth in Mexico City,Completed,Has Results,Type 2 Diabetes Mellitus,Behavioral: Yo Puedo + mHealth,Yale University|Universidad Iberoamericana,"21 Years to 65 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,"Yale School of Nursing, Orange, Connecticut, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT03159299/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03159299
45,NCT03884920,Glucose Tolerance and Prevention of Diabetes Mellitus Type 2 by Polyherbal Formulation,Completed,No Results Available,Diabetes Mellitus|Pre Diabetes,Dietary Supplement: Polyherbal formulation,Islamia University of Bahawalpur|Hashmi Herbal Pharma (HHP) Registered Bahawalpur,18 Years to 59 Years   (Adult),,Other,Observational,Observational Model: Case-Crossover|Time Perspective: Cross-Sectional,"Hashmi Dawakhana, Khairpur Tamewali, Punjab, Pakistan|University College of Conventional Medicine, Bahawalpur, Pakistan","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/20/NCT03884920/Prot_001.pdf",https://ClinicalTrials.gov/show/NCT03884920
46,NCT03039569,Assessing Home Food Environment and Diabetes Self-management Among Adult Type 2 Diabetes Patients,Completed,Has Results,"Diabetes Mellitus, Type 2",Behavioral: Text messaging,University of Nebraska Lincoln|The Methodist Hospital Research Institute,"30 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,"University of Nebraska-Lincoln (with Methodist Hospital System), Lincoln, Nebraska, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT03039569/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03039569
47,NCT02846779,Targeted Adherence Intervention to Reach Glycemic Control With Insulin Therapy for Patients With Diabetes,Completed,Has Results,Diabetes,Other: Low intensity|Other: Moderate intensity|Other: High intensity,Brigham and Women's Hospital|Horizon Blue Cross Blue Shield of New Jersey,"18 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,"Horizon Blue Cross Blue Shield of New Jersey, Newark, New Jersey, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/79/NCT02846779/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02846779
48,NCT01966978,"The Effect of Simple Basal Insulin Titration, Metformin Plus Liraglutide for Type 2 Diabetes With Very Elevated HbA1c - The SIMPLE Study",Completed,Has Results,"Diabetes Mellitus, Type 2|Diabetes",Drug: Metformin|Drug: Detemir|Drug: Liraglutide|Drug: Insulin Aspart,University of Texas Southwestern Medical Center,"18 Years to 80 Years   (Adult, Older Adult)",Phase 4,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"UT Southwestern Medical Center, Dallas, Texas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/78/NCT01966978/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT01966978
49,NCT03865381,Onduo Virtual Diabetes Clinic Study,Completed,Has Results,"Diabetes Mellitus, Type 2",Device: Onduo App,Verily Life Sciences LLC,"18 Years and older   (Adult, Older Adult)",Not Applicable,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,"Palo Alto Medical Foundation, Palo Alto, California, United States|Premier Medical Associates, Monroeville, Pennsylvania, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/81/NCT03865381/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03865381
50,NCT04302168,Choline Supplementation on Fetal Growth in Gestational Diabetes Mellitus,Recruiting,No Results Available,Gestational Diabetes,Dietary Supplement: Choline supplement|Dietary Supplement: Placebo,Maimonides Medical Center,18 Years to 50 Years   (Adult),Not Applicable,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Maimonides Medical Center, Brooklyn, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/68/NCT04302168/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04302168
51,NCT02647320,12-Week Study of DS-8500a in Subjects With Type 2 Diabetes Mellitus on Metformin,Completed,Has Results,Type 2 Diabetes Mellitus,Drug: Sitagliptin 100 mg|Drug: DS-8500a 25mg|Drug: Placebo Tablet|Drug: Placebo Capsule,"Daiichi Sankyo, Inc.","18 Years to 70 Years   (Adult, Older Adult)",Phase 2,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Birmingham, Alabama, United States|Litchfield Park, Arizona, United States|Tempe, Arizona, United States|Anaheim, California, United States|Chino, California, United States|Chula Vista, California, United States|Fresno, California, United States|Gold River, California, United States|Greenbrae, California, United States|San Diego, California, United States|Colorado Springs, Colorado, United States|Lakewood, Colorado, United States|Hallandale Beach, Florida, United States|Miami, Florida, United States|Miami, Florida, United States|Pembroke Pines, Florida, United States|West Palm Beach, Florida, United States|Atlanta, Georgia, United States|Boise, Idaho, United States|Avon, Indiana, United States|Evansville, Indiana, United States|Franklin, Indiana, United States|Greenfield, Indiana, United States|Council Bluffs, Iowa, United States|Troy, Michigan, United States|Edina, Minnesota, United States|Washington, Missouri, United States|Omaha, Nebraska, United States|Mooresville, North Carolina, United States|Morgantown, North Carolina, United States|Winston-Salem, North Carolina, United States|Columbus, Ohio, United States|Medford, Oregon, United States|Charleston, South Carolina, United States|Charleston, South Carolina, United States|Greer, South Carolina, United States|Mount Pleasant, South Carolina, United States|Spartanburg, South Carolina, United States|Austin, Texas, United States|Dallas, Texas, United States|Houston, Texas, United States|Plano, Texas, United States|San Antonio, Texas, United States|San Antonio, Texas, United States|Salt Lake City, Utah, United States|Salt Lake City, Utah, United States|South Jordan, Utah, United States|Burke, Virginia, United States|Victoria, British Columbia, Canada|Brampton, Ontario, Canada|London, Ontario, Canada|Newmarket, Ontario, Canada|Toronto, Ontario, Canada|Toronto, Ontario, Canada|Mirabel, Quebec, Canada|Montreal, Quebec, Canada|Sherbrooke, Quebec, Canada|Quebec, Canada","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/20/NCT02647320/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02647320
52,NCT01793909,Type 2 Diabetes and Exercise Function in Single Leg Exercises,Completed,Has Results,Type 2 Diabetes,Other: Single Leg Exercise Training,"University of Colorado, Denver","30 Years to 70 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"University of Colorado Denver, Anschutz Medical Campus, Aurora, Colorado, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/09/NCT01793909/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT01793909
53,NCT02379078,Impact of an Interprofessional Shared Decision-making and Goal-setting Decision Aid for Patients With Diabetes,Completed,Has Results,Diabetes Mellitus,Other: Shared decision-making aid|Other: Generic hard copy diabetes resources|Other: Generic online diabetes resources,Unity Health Toronto|Canadian Institutes of Health Research (CIHR),"18 Years and older   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Health Services Research,Canadian,"""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/78/NCT02379078/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02379078
54,NCT05431686,Group Visits for High Risk Type 1 Diabetes (T1D),Recruiting,No Results Available,Type 1 Diabetes,Behavioral: SMA visits|Behavioral: standard visits,"Children's National Research Institute|American Diabetes Association|DexCom, Inc.","8 Years and older   (Child, Adult, Older Adult)",Not Applicable,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,"Children's National Hospital, Washington, District of Columbia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/86/NCT05431686/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT05431686
55,NCT04407650,Ursodeoxycholic Acid vs Metformin in Gestational Diabetes Mellitus,Unknown status,No Results Available,Gestational Diabetes,Drug: Metformin|Drug: Ursodeoxycholic Acid,King's College London|Guy's and St Thomas' NHS Foundation Trust,"16 Years to 45 Years   (Child, Adult)",Phase 4,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,London,"""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT04407650/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04407650
56,NCT05182359,Pragmatic Impact of Proteomic Risk Stratification in Diabetes Mellitus,Recruiting,No Results Available,Type 2 Diabetes,Other: SomaSignal Cardiovascular Risk in Type 2 Diabetes (CVD-T2D) Test and SomaSignal Metabolic Factors test,"University Hospitals Cleveland Medical Center|SomaLogic, Inc.","40 Years to 89 Years   (Adult, Older Adult)",Not Applicable,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,"University Hospitals, Cleveland, Ohio, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/59/NCT05182359/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT05182359
57,NCT03727854,Effect of Premeal Protein-bar on Glycemic Control in Patients With Type 2 Diabetes,Completed,Has Results,Patients With Type 2 Diabetes,Dietary Supplement: Premeal protein enriched bar|Behavioral: Dietary modification,Seoul National University Hospital,"19 Years to 79 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,"Seoul National University Hospital, Seoul, Korea, Republic of","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03727854/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03727854
58,NCT04949867,Dual-Hormone Closed-Loop Glucose Control in Adolescents With Type 1 Diabetes,Recruiting,No Results Available,Type 1 Diabetes,Drug: Glucagon|Device: Closed-loop System,Steno Diabetes Center Copenhagen|Technical University of Denmark|Herlev Hospital,13 Years to 17 Years   (Child),Phase 4,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,"Steno Diabetes Center Copenhagen, Gentofte, Denmark|Herlev Hospital, Herlev, Denmark","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/67/NCT04949867/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04949867
59,NCT02372253,Verapamil for Beta Cell Survival Therapy in Type 1 Diabetes,Completed,Has Results,Type 1 Diabetes Mellitus,Drug: Verapamil|Drug: Placebo,University of Alabama at Birmingham|Juvenile Diabetes Research Foundation,18 Years to 45 Years   (Adult),Phase 2,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","University of Alabama at Birmingham, Birmingham, Alabama, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/53/NCT02372253/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02372253
60,NCT03165110,Evaluation of an Ascensia Diabetes Care Blood Glucose Meter and App System,Completed,Has Results,Diabetes Mellitus,Device: Onyx BG Meter / App System,Ascensia Diabetes Care,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,"AMCR Institute, Escondido, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT03165110/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03165110
61,NCT03006666,Integrating Community Health Workers to Improve Diabetes Prevention,Completed,No Results Available,Diabetes Mellitus,Behavioral: CHW Training|Behavioral: Data Only,NYU Langone Health,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,Other,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,"New York University Medical Center, New York, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/66/NCT03006666/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03006666
62,NCT02607306,"A Trial Comparing the Efficacy and Safety of Insulin Degludec/Liraglutide, Insulin Degludec and Liraglutide in Japanese Subjects With Type 2 Diabetes Mellitus.",Completed,Has Results,"Diabetes|Diabetes Mellitus, Type 2",Drug: insulin degludec/liraglutide|Drug: insulin degludec|Drug: liraglutide,Novo Nordisk A/S,"20 Years and older   (Adult, Older Adult)",Phase 3,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"Novo Nordisk Investigational Site, Adachi-ku, Tokyo, Japan|Novo Nordisk Investigational Site, Akita-shi, Akita, Japan|Novo Nordisk Investigational Site, Annaka-shi, Gunma, Japan|Novo Nordisk Investigational Site, Asahikawa-shi, Hokkaido, Japan|Novo Nordisk Investigational Site, Chiba-shi, Chiba, Japan|Novo Nordisk Investigational Site, Chitose, Hokkaido, Japan|Novo Nordisk Investigational Site, Chuo-ku, Tokyo, Japan|Novo Nordisk Investigational Site, Chuo-ku,Tokyo, Japan|Novo Nordisk Investigational Site, Chuo-ku,, Japan|Novo Nordisk Investigational Site, Edogawa-ku, Tokyo, Japan|Novo Nordisk Investigational Site, Fujisawa-shi, Kanagawa, Japan|Novo Nordisk Investigational Site, Fukuoka-shi, Fukuoka, Japan|Novo Nordisk Investigational Site, Fukushima, Japan|Novo Nordisk Investigational Site, Gunma, Japan|Novo Nordisk Investigational Site, Hachioji-shi, Tokyo, Japan|Novo Nordisk Investigational Site, Hokkaido, Japan|Novo Nordisk Investigational Site, Hokkaido, Japan|Novo Nordisk Investigational Site, Ibaraki, Japan|Novo Nordisk Investigational Site, Ichihara-shi, Chiba, Japan|Novo Nordisk Investigational Site, Iruma-shi, Saitama, Japan|Novo Nordisk Investigational Site, Itabashi-ku, Tokyo, Japan|Novo Nordisk Investigational Site, Itabashi-ku, Tokyo, Japan|Novo Nordisk Investigational Site, Izumisano-shi,Osaka, Japan|Novo Nordisk Investigational Site, Izumisano-shi, Japan|Novo Nordisk Investigational Site, Kagoshima-shi, Kagoshima, Japan|Novo Nordisk Investigational Site, Kamakura-shi, Japan|Novo Nordisk Investigational Site, Kanagawa, Japan|Novo Nordisk Investigational Site, Kanra-gun, Gunma, Japan|Novo Nordisk Investigational Site, Kashiwara-shi, Osaka, Japan|Novo Nordisk Investigational Site, Kawagoe-shi, Saitama, Japan|Novo Nordisk Investigational Site, Kawaguchi-shi, Saitama, Japan|Novo Nordisk Investigational Site, Kawasaki-shi,Kanagawa, Japan|Novo Nordisk Investigational Site, Kisarazu-shi, Chiba, Japan|Novo Nordisk Investigational Site, Kobe-shi, Hyogo, Japan|Novo Nordisk Investigational Site, Kuki-shi, Saitama, Japan|Novo Nordisk Investigational Site, Kumamoto-shi, Kumamoto, Japan|Novo Nordisk Investigational Site, Kumamoto-shi, Kumamoto, Japan|Novo Nordisk Investigational Site, Kumamoto, Japan|Novo Nordisk Investigational Site, Kushiro-shi, Hokkaido, Japan|Novo Nordisk Investigational Site, Kyoto-shi, Kyoto, Japan|Novo Nordisk Investigational Site, Minato-ku, Tokyo, Japan|Novo Nordisk Investigational Site, Mito-shi, Ibaraki, Japan|Novo Nordisk Investigational Site, Mito-shi, Ibaraki, Japan|Novo Nordisk Investigational Site, Miura-shi, Kanagawa, Japan|Novo Nordisk Investigational Site, Miyazaki, Japan|Novo Nordisk Investigational Site, Nagoya-shi, Aichi, Japan|Novo Nordisk Investigational Site, Nagoya-shi, Aichi, Japan|Novo Nordisk Investigational Site, Nishinomiya-shi, Hygo, Japan|Novo Nordisk Investigational Site, Obihiro-shi, Hokkaido, Japan|Novo Nordisk Investigational Site, Obihiro-shi, Hokkaido, Japan|Novo Nordisk Investigational Site, Oita-shi, Japan|Novo Nordisk Investigational Site, Okawa-shi, Fukuoka, Japan|Novo Nordisk Investigational Site, Onga-gun, Fukuoka, Japan|Novo Nordisk Investigational Site, Osaka-shi, Osaka, Japan|Novo Nordisk Investigational Site, Osaka-shi, Osaka, Japan|Novo Nordisk Investigational Site, Osaka-shi, Osaka, Japan|Novo Nordisk Investigational Site, Osaka, Japan|Novo Nordisk Investigational Site, Ota-ku, Tokyo, Japan|Novo Nordisk Investigational Site, Saijo-shi, Ehime, Japan|Novo Nordisk Investigational Site, Sapporo-shi, Hokkaido, Japan|Novo Nordisk Investigational Site, Sapporo-shi, Hokkaido, Japan|Novo Nordisk Investigational Site, Sendai-shi, Miyagi, Japan|Novo Nordisk Investigational Site, Sendai-shi, Miyagi, Japan|Novo Nordisk Investigational Site, Shimotsuke-shi, Tochigi, Japan|Novo Nordisk Investigational Site, Shizuoka-shi, Shizuoka, Japan|Novo Nordisk Investigational Site, Tochigi, Japan|Novo Nordisk Investigational Site, Tokyo, Japan|Novo Nordisk Investigational Site, Tokyo, Japan|Novo Nordisk Investigational Site, Tokyo, Japan|Novo Nordisk Investigational Site, Tokyo, Japan|Novo Nordisk Investigational Site, Toshima-ku, Tokyo, Japan|Novo Nordisk Investigational Site, Toyonaka-shi, Osaka, Japan|Novo Nordisk Investigational Site, Ube-shi, Yamaguchi, Japan|Novo Nordisk Investigational Site, Urasoe-shi,, Japan|Novo Nordisk Investigational Site, Yamaguchi-shi, Yamaguchi, Japan|Novo Nordisk Investigational Site, Yamato-shi, Kanagawa, Japan","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/06/NCT02607306/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02607306
