,NCT Number,Status,Conditions,Sponsor,Age,Funded_Bys,Study_Designs,Locations,links
754,NCT01763346,Completed,prediabetes type 2 diabetes obesity ,university of southern california national institute of diabetes and digestive and kidney diseases niddk , years to  years   adult older adult ,other nih ,allocation randomized intervention model parallel assignment masking none open label primary purpose basic science ,university of southern california los angeles california united states ,https://ClinicalTrials.gov/ProvidedDocs/46/NCT01763346/Prot_SAP_000.pdf
755,NCT04502212,Completed,type 2 diabetes ,general electric research prosciento , years to  years   adult older adult ,industry other ,allocation na intervention model single group assignment masking none open label primary purpose other ,prosciento chula vista california united states ,https://ClinicalTrials.gov/ProvidedDocs/12/NCT04502212/Prot_000.pdf
756,NCT03077360,Completed,diabetes mellitus type 2 prediabetes obesity ,university of colorado denver national institute of diabetes and digestive and kidney diseases niddk , years to  years   adult ,other nih ,allocation randomized intervention model parallel assignment masking none open label primary purpose basic science ,university of colorado aurora colorado united states ,https://ClinicalTrials.gov/ProvidedDocs/60/NCT03077360/Prot_SAP_000.pdf
757,NCT03597035,Not Completed,type2 diabetes hyperkalemia ,university hospitals cleveland medical center relypsa inc , years and older   adult older adult ,other industry ,allocation na intervention model single group assignment masking none open label primary purpose treatment ,university hospitals cleveland medical center cleveland ohio united states ,https://ClinicalTrials.gov/ProvidedDocs/35/NCT03597035/Prot_SAP_000.pdf
758,NCT03481283,Not Completed,type2 diabetes peripheral neuropathy ,john slevin university of kentucky , years and older   adult older adult ,other ,observational model cohort time perspective cro,uk robert straus behavioral science laboratory lexington kentucky united states university of kentucky  kentucky neuroscience institute lexington kentucky united states ,https://ClinicalTrials.gov/ProvidedDocs/83/NCT03481283/Prot_000.pdf
759,NCT03271879,Not Completed,heart failure diabetes mellitus arrythmia ,rambam health care campus boehringer ingelheim , years and older   adult older adult ,other industry ,allocation randomized intervention model crossover assignment masking double participant investigator primary purpose treatment ,israel ,https://ClinicalTrials.gov/ProvidedDocs/79/NCT03271879/Prot_SAP_000.pdf
760,NCT04599738,Completed,healthy pre diabetes ,oxford brookes university taibah university , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking single participant primary purpose prevention ,oxford brookes centre for nutrition and health oxford united kingdom ,https://ClinicalTrials.gov/ProvidedDocs/38/NCT04599738/Prot_SAP_000.pdf
761,NCT03192475,Completed,obesity cardiovascular risk factor eating behavior diet modification physical activity quality of life mobility limitation ,university of pittsburgh , years to  years   older adult ,other ,allocation randomized intervention model parallel assignment masking double investigator outcomes assessor primary purpose prevention ,pittsburgh ,https://ClinicalTrials.gov/ProvidedDocs/75/NCT03192475/ICF_000.pdf
762,NCT03552757,Completed,obesity overweight ,novo nordisk as , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,novo nordisk investigational site buena park california united states novo nordisk investigational site concord california united states novo nordisk investigational site fresno california united states novo nordisk investigational site lomita california united states novo nordisk investigational site los angeles california united states novo nordisk investigational site mission hills california united states novo nordisk investigational site spring valley california united states novo nordisk investigational site tarzana california united states novo nordisk investigational site golden colorado united states novo nordisk investigational site clearwater florida united states novo nordisk investigational site jacksonville florida united states novo nordisk investigational site jacksonville florida united states novo nordisk investigational site kissimmee florida united states novo nordisk investigational site saint petersburg florida united states novo nordisk investigational site tampa florida united states novo nordisk investigational site alpharetta georgia united states novo nordisk investigational site atlanta georgia united states novo nordisk investigational site roswell georgia united states novo nordisk investigational site chicago illinois united states novo nordisk investigational site chicago illinois united states novo nordisk investigational site springfield illinois united states novo nordisk investigational site west des moines iowa united states novo nordisk investigational site topeka kansas united states novo nordisk investigational site lexington kentucky united states novo nordisk investigational site louisville kentucky united states novo nordisk investigational site minneapolis minnesota united states novo nordisk investigational site olive branch mississippi united states novo nordisk investigational site butte montana united states novo nordisk investigational site lawrenceville new jersey united states novo nordisk investigational site chapel hill north carolina united states novo nordisk investigational site greensboro north carolina united states novo nordisk investigational site greenville north carolina united states novo nordisk investigational site hickory north carolina united states novo nordisk investigational site salisbury north carolina united states novo nordisk investigational site wilmington north carolina united states novo nordisk investigational site wadsworth ohio united states novo nordisk investigational site anderson south carolina united states novo nordisk investigational site mount pleasant south carolina united states novo nordisk investigational site bristol tennessee united states novo nordisk investigational site nashville tennessee united states novo nordisk investigational site austin texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site dallas texas united states novo nordisk investigational site houston texas united states novo nordisk investigational site shavano park texas united states novo nordisk investigational site saint george utah united states novo nordisk investigational site winchester virginia united states novo nordisk investigational site olympia washington united states novo nordisk investigational site caba argentina novo nordisk investigational site chacabuco argentina novo nordisk investigational site crdoba argentina novo nordisk investigational site mendoza argentina novo nordisk investigational site santiago del estero argentina novo nordisk investigational site calgary alberta canada novo nordisk investigational site mount pearl newfoundland and labrador canada novo nordisk investigational site concord ontario canada novo nordisk investigational site london ontario canada novo nordisk investigational site stoney creek ontario canada novo nordisk investigational site toronto ontario canada novo nordisk investigational site toronto ontario canada novo nordisk investigational site montreal quebec canada novo nordisk investigational site montreal quebec canada novo nordisk investigational site stmarcdescarrires quebec canada novo nordisk investigational site essen germany novo nordisk investigational site falkensee germany novo nordisk investigational site hamburg germany novo nordisk investigational site hamburg germany novo nordisk investigational site lingen germany novo nordisk investigational site mnster germany novo nordisk investigational site rehlingensiersburg germany novo nordisk investigational site schweinfurt germany novo nordisk investigational site stuttgart germany novo nordisk investigational site athens greece novo nordisk investigational site haidariathens greece novo nordisk investigational site thessaloniki greece novo nordisk investigational site thessaloniki greece novo nordisk investigational site thessaloniki greece novo nordisk investigational site thessaloniki greece novo nordisk investigational site ahmedabad gujarat india novo nordisk investigational site ahmedabad gujarat india novo nordisk investigational site bangalore karnataka india novo nordisk investigational site kochi kerala india novo nordisk investigational site mumbai maharashtra india novo nordisk investigational site mumbai maharashtra india novo nordisk investigational site pune maharashtra india novo nordisk investigational site new dehli new delhi india novo nordisk investigational site jaipur rajasthan india novo nordisk investigational site chennai tamil nadu india novo nordisk investigational site chennai tamil nadu india novo nordisk investigational site coimbatore tamil nadu india novo nordisk investigational site kolkata west bengal india novo nordisk investigational site kolkata west bengal india novo nordisk investigational site new delhi india novo nordisk investigational site secunderabad india novo nordisk investigational site chibashi chiba japan novo nordisk investigational site chuoku tokyo japan novo nordisk investigational site fukuokashi fukuoka japan novo nordisk investigational site hokkaido japan novo nordisk investigational site hokkaido japan novo nordisk investigational site ibaraki japan novo nordisk investigational site kashiwarashi osaka japan novo nordisk investigational site mitakashi tokyo japan novo nordisk investigational site osaka japan novo nordisk investigational site osaka japan novo nordisk investigational site sapporoshi hokkaido japan novo nordisk investigational site tochigi japan novo nordisk investigational site san juan puerto rico novo nordisk investigational site barnaul russian federation novo nordisk investigational site moscow russian federation novo nordisk investigational site moscow russian federation novo nordisk investigational site moscow russian federation novo nordisk investigational site moscow russian federation novo nordisk investigational site saint petersburg russian federation novo nordisk investigational site saintpetersburg russian federation novo nordisk investigational site saintpetersburg russian federation novo nordisk investigational site tomsk russian federation novo nordisk investigational site johannesburg gauteng south africa novo nordisk investigational site johannesburg gauteng south africa novo nordisk investigational site pretoria gauteng south africa novo nordisk investigational site pretoria gauteng south africa novo nordisk investigational site durban kwazulunatal south africa novo nordisk investigational site brits north west south africa novo nordisk investigational site almeria spain novo nordisk investigational site crdoba spain novo nordisk investigational site madrid spain novo nordisk investigational site mlaga spain novo nordisk investigational site san cristbal de la laguna spain novo nordisk investigational site sevilla spain novo nordisk investigational site sevilla spain novo nordisk investigational site valladolid spain novo nordisk investigational site dubai united arab emirates novo nordisk investigational site dubai united arab emirates novo nordisk investigational site dubai united arab emirates novo nordisk investigational site hatta united arab emirates novo nordisk investigational site umm al quwain united arab emirates novo nordisk investigational site chester united kingdom novo nordisk investigational site crewe united kingdom novo nordisk investigational site glasgow united kingdom novo nordisk investigational site harrogate north yorkshire united kingdom novo nordisk investigational site leicester united kingdom novo nordisk investigational site middlesbrough united kingdom novo nordisk investigational site soham united kingdom novo nordisk investigational site stevenage united kingdom novo nordisk investigational site watford united kingdom novo nordisk investigational site wellingborough united kingdom ,https://ClinicalTrials.gov/ProvidedDocs/57/NCT03552757/Prot_002.pdf
763,NCT02608177,Completed,chronic kidney diseases type 2 diabetes ,university of washington american diabetes association medtronic abbott , years and older   adult older adult ,other industry ,allocation randomized intervention model crossover assignment masking double investigator outcomes assessor primary purpose treatment ,university of washington seattle washington united states ,https://ClinicalTrials.gov/ProvidedDocs/77/NCT02608177/Prot_SAP_000.pdf
764,NCT02512276,Completed,hyperlipidemia diabetes hypertension ,brigham and womens hospital harvard vanguard medical associates , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking none open label primary purpose health services research ,harvard vanguard medical associates newton massachusetts united states ,https://ClinicalTrials.gov/ProvidedDocs/76/NCT02512276/Prot_SAP_000.pdf
765,NCT02642159,Completed,dyslipidemia ,sanofi regeneron pharmaceuticals , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking none open label primary purpose treatment ,investigational site number  little rock arkansas united states investigational site number  fresno california united states investigational site number  huntington beach california united states investigational site number  la jolla california united states investigational site number  los angeles california united states investigational site number  northridge california united states investigational site number  port hueneme california united states investigational site number  tarzana california united states investigational site number  tustin california united states investigational site number  van nuys california united states investigational site number  boca raton florida united states investigational site number  boynton beach florida united states investigational site number  bradenton florida united states investigational site number  ocoee florida united states investigational site number  oviedo florida united states investigational site number  tampa florida united states investigational site number  bainbridge georgia united states investigational site number  columbus georgia united states investigational site number  stockbridge georgia united states investigational site number  idaho falls idaho united states investigational site number  chicago illinois united states investigational site number  crystal lake illinois united states investigational site number  evanston illinois united states investigational site number  springfield illinois united states investigational site number  louisville kentucky united states investigational site number  paducah kentucky united states investigational site number  metairie louisiana united states investigational site number  rockville maryland united states investigational site number  jefferson city missouri united states investigational site number  saint louis missouri united states investigational site number  omaha nebraska united states investigational site number  las vegas nevada united states investigational site number  las vegas nevada united states investigational site number  albany new york united states investigational site number  new york new york united states investigational site number  new york new york united states investigational site number  greensboro north carolina united states investigational site number  morehead city north carolina united states investigational site number  morganton north carolina united states investigational site number  fargo north dakota united states investigational site number  columbus ohio united states investigational site number  marion ohio united states investigational site number  maumee ohio united states investigational site number  bend oregon united states investigational site number  murrells inlet south carolina united states investigational site number  summerville south carolina united states investigational site number  chattanooga tennessee united states investigational site number  knoxville tennessee united states investigational site number  dallas texas united states investigational site number  houston texas united states investigational site number  houston texas united states investigational site number  round rock texas united states investigational site number  tomball texas united states investigational site number  orem utah united states investigational site number  salt lake city utah united states investigational site number  chesapeake virginia united states investigational site number  richmond virginia united states investigational site number  herston australia investigational site number  merewether australia investigational site number  st leonards australia investigational site number  campinas brazil investigational site number  fortaleza brazil investigational site number  sao paulo brazil investigational site number  so paulo brazil investigational site number  so paulo brazil investigational site number  so paulo brazil investigational site number  oulu finland investigational site number  oulu finland investigational site number  tampere finland investigational site number  berlin germany investigational site number  berlin germany investigational site number  dippoldiswalde germany investigational site number  dresden germany investigational site number  essen germany investigational site number  essen germany investigational site number  goch germany investigational site number  karlsruhe germany investigational site number  knzing germany investigational site number  oldenburg in holstein germany investigational site number  beer sheva israel investigational site number  petach tikva israel investigational site number  petach tikva israel investigational site number  rehovot israel investigational site number  telaviv israel investigational site number  bergamo italy investigational site number  catanzaro italy investigational site number  napoli italy investigational site number  padova italy investigational site number  partinico italy investigational site number  pisa italy investigational site number  roma italy investigational site number  torino italy investigational site number  kuwait kuwait investigational site number  beirut lebanon investigational site number  hazmieh lebanon investigational site number  oslo norway investigational site number  oslo norway investigational site number  gteborg sweden investigational site number  stockholm sweden investigational site number  genve switzerland investigational site number  olten switzerland investigational site number  reinach switzerland investigational site number  adana turkey investigational site number  ankara turkey investigational site number  ankara turkey investigational site number  corum turkey investigational site number  hatay turkey investigational site number  izmir turkey investigational site number  izmir turkey investigational site number  izmir turkey investigational site number  kayseri turkey investigational site number  samsun turkey investigational site number  dubai united arab emirates investigational site number  exeter united kingdom investigational site number  manchester united kingdom investigational site number  middlesborough united kingdom investigational site number  stevenage united kingdom investigational site number  torquay united kingdom investigational site number  west bromwich united kingdom ,https://ClinicalTrials.gov/ProvidedDocs/59/NCT02642159/Prot_000.pdf
766,NCT02738086,Completed,amputation diabetes mellitus type 2 peripheral artery disease ,va office of research and development , years to  years   adult older adult ,us fed ,allocation randomized intervention model crossover assignment masking single outcomes assessor primary purpose treatment ,rocky mountain regional va medical center aurora co aurora colorado united states ,https://ClinicalTrials.gov/ProvidedDocs/86/NCT02738086/Prot_SAP_000.pdf
767,NCT01858532,Not Completed,diabetic nephropathy ,abbvie , years to  years   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,ireland ,https://ClinicalTrials.gov/ProvidedDocs/32/NCT01858532/Prot_000.pdf
768,NCT02585778,Completed,hypercholesterolaemia ,sanofi regeneron pharmaceuticals , years and older   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking double participant investigator primary purpose treatment ,investigational site number  encino california united states investigational site number  fresno california united states investigational site number  oakland california united states investigational site number  loveland colorado united states investigational site number  atlantis florida united states investigational site number  bradenton florida united states investigational site number  jacksonville florida united states investigational site number  palm harbor florida united states investigational site number  ponte vedra beach florida united states investigational site number  roswell georgia united states investigational site number  springfield illinois united states investigational site number  indianapolis indiana united states investigational site number  valparaiso indiana united states investigational site number  des moines iowa united states investigational site number  louisville kentucky united states investigational site number  auburn maine united states investigational site number  hyattsville maryland united states investigational site number  rockville maryland united states investigational site number  minneapolis minnesota united states investigational site number  jamaica new york united states investigational site number  maumee ohio united states investigational site number  greer south carolina united states investigational site number  chattanooga tennessee united states investigational site number  austin texas united states investigational site number  dallas texas united states investigational site number  dallas texas united states investigational site number  houston texas united states investigational site number  ogden utah united states investigational site number  salt lake city utah united states investigational site number  innsbruck austria investigational site number  linz austria investigational site number  salzburg austria investigational site number  salzburg austria investigational site number  wien austria investigational site number  edegem belgium investigational site number  hainesaintpaul belgium investigational site number  leuven belgium investigational site number  besancon france investigational site number  corbeil essonnes france investigational site number  la rochelle cedex  france investigational site number  le creusot france investigational site number  mulhouse france investigational site number  nantes cedex  france investigational site number  paris france investigational site number  strasbourg cedex  france investigational site number  toulouse cedex  france investigational site number  aschaffenburg germany investigational site number  berlin germany investigational site number  dortmund germany investigational site number  dresden germany investigational site number  dresden germany investigational site number  dresden germany investigational site number  hamburg germany investigational site number  hamburg germany investigational site number  heidelberg germany investigational site number  lneburg germany investigational site number  magdeburg germany investigational site number  neumnster germany investigational site number  neuwied germany investigational site number  oldenburg germany investigational site number  pirna germany investigational site number  riesa germany investigational site number  saarlouis germany investigational site number  sulzbachrosenberg germany investigational site number  catania italy investigational site number  catanzaro italy investigational site number  como italy investigational site number  milano italy investigational site number  milano italy investigational site number  moncalieri italy investigational site number  napoli italy investigational site number  padova italy investigational site number  palermo italy investigational site number  pisa italy investigational site number  roma italy investigational site number  verona italy investigational site number  apeldoorn netherlands investigational site number  groningen netherlands investigational site number  hoogeveen netherlands investigational site number  rotterdam netherlands investigational site number  utrecht netherlands investigational site number  badalona spain investigational site number  barcelona spain investigational site number  ferrol spain investigational site number  granada spain investigational site number  madrid spain investigational site number  madrid spain investigational site number  majadahonda spain investigational site number  mlaga spain investigational site number  oviedo spain investigational site number  palma de mallorca spain investigational site number  pamplona spain investigational site number  sant joan desp spain investigational site number  segovia spain investigational site number  sevilla spain investigational site number  olten switzerland investigational site number  st gallen switzerland investigational site number  airdrie united kingdom investigational site number  bath united kingdom investigational site number  bournemouth united kingdom investigational site number  bradford united kingdom investigational site number  bristol united kingdom investigational site number  burton on trent united kingdom investigational site number  durham united kingdom investigational site number  high wycombe united kingdom investigational site number  manchester united kingdom investigational site number  peterborough united kingdom investigational site number  southampton united kingdom investigational site number  truro united kingdom investigational site number  welwyn garden city united kingdom ,https://ClinicalTrials.gov/ProvidedDocs/78/NCT02585778/Prot_000.pdf
769,NCT03750695,Completed,pregnancy complications obesity preeclampsia gestational diabetes ,duke university , years to  years   adult ,other ,allocation randomized intervention model crossover assignment masking none open label primary purpose treatment ,washington university saint louis missouri united states ,https://ClinicalTrials.gov/ProvidedDocs/95/NCT03750695/Prot_SAP_000.pdf
770,NCT02556918,Completed,hyperglycemia ,emory university , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking single participant primary purpose prevention ,grady health system atlanta georgia united states emory univeristy hospital midtown atlanta georgia united states emory university hospital atlanta georgia united states ,https://ClinicalTrials.gov/ProvidedDocs/18/NCT02556918/Prot_SAP_000.pdf
771,NCT03304626,Completed,acute cellular graft rejection new onset diabetes after transplant ,university of cincinnati american college of gastroenterology , years to  years   adult older adult ,other ,allocation nonrandomized intervention model parallel assignment masking none open label primary purpose treatment ,university of cincinnati medical center cincinnati ohio united states ,https://ClinicalTrials.gov/ProvidedDocs/26/NCT03304626/Prot_SAP_001.pdf
772,NCT02118714,Completed,nephropathy diabetes ,abbvie , years to  years   adult older adult ,industry ,allocation na intervention model single group assignment masking none open label primary purpose other ,alliance research centers id  laguna hills california united states frank clark urology center id  santa monica california united states research by design llc id  evergreen park illinois united states southern il univ school of med id  springfield illinois united states crescent city clinical res ctr id  metairie louisiana united states tulane univ id  new orleans louisiana united states albany medical college id  albany new york united states urologic consultants of southeastern pennsylvania id  balacynwyd pennsylvania united states eastern virginia med school id  norfolk virginia united states charite research organisation gmbh id  berlin germany ospedale s carlo borromeo id  milan italy scdu nefrologia e dialisicmid id  torino italy hospital universitario reina s id  cordoba spain ,https://ClinicalTrials.gov/ProvidedDocs/14/NCT02118714/Prot_000.pdf
773,NCT05037591,Completed,obesity aging diabetes ,state islamic university of sunan kalijaga yogyakarta , years to  years   adult ,other ,allocation randomized intervention model parallel assignment masking double participant care provider primary purpose treatment ,fahrul nurkolis manado sulawesi utara indonesia ,https://ClinicalTrials.gov/ProvidedDocs/91/NCT05037591/Prot_SAP_ICF_000.pdf
774,NCT04134650,Not Completed,prediabetic state insulin resistance ,universidad de guanajuato hospital regional de alta especialidad del bajio , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose prevention ,universidad de guanajuato len guanauato mexico ,https://ClinicalTrials.gov/ProvidedDocs/50/NCT04134650/Prot_SAP_000.pdf
775,NCT04189848,Completed,healthy volunteers diabetes mellitus type 2 overweight obesity ,novo nordisk as , years to  years   adult older adult ,industry ,allocation randomized intervention model crossover assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,novo nordisk investigational site groningen netherlands ,https://ClinicalTrials.gov/ProvidedDocs/48/NCT04189848/Prot_000.pdf
776,NCT04799925,Not Completed,hyperuricemia diabetic nephropathies ,assiut university , years and older   adult older adult ,other ,observational model casecontrol time perspective prospective ,egypt ,https://ClinicalTrials.gov/ProvidedDocs/25/NCT04799925/Prot_SAP_ICF_000.pdf
777,NCT02057952,Completed,diabetes ,indiana university regenstrief institute inc wishard health services , years to  years   adult ,other ,allocation randomized intervention model parallel assignment masking single outcomes assessor primary purpose treatment ,indiana university school of medicine indianapolis indiana united states ,https://ClinicalTrials.gov/ProvidedDocs/52/NCT02057952/Prot_000.pdf
778,NCT02287883,Completed,diabetes cardiovascular disease ,university of california berkeley dartmouth college advocate health care healthcare partners institute for applied research and education , years to  years   adult older adult ,other ,observational model cohort time perspective prospective ,university of california berkeley berkeley california united states healthcare partners insitute for applied research and education torrance california united states advocate health care chicago illinois united states dartmouth colelge hanover new hampshire united states ,https://ClinicalTrials.gov/ProvidedDocs/83/NCT02287883/Prot_SAP_000.pdf
779,NCT03656744,Completed,fatty liver nonalcoholic nafld nonalcoholic fatty liver disease nonalcoholic steatohepatitis digestive system diseases type 2 diabetes mellitus t2dm ,hightide biopharma pty ltd , years to  years   adult older adult ,industry ,allocation randomized intervention model parallel assignment masking quadruple participant care provider investigator outcomes assessor primary purpose treatment ,institute for liver health chandler arizona united states institute for liver health tucson arizona united states adobe clinical research tucson arizona united states national research institute panorama city california united states excel medical clinical trials boca raton florida united states florida research institute lakewood ranch florida united states compass research orlando florida united states kansas city research institute kansas city missouri united states cumberland research associates fayetteville north carolina united states gastro one germantown tennessee united states digestive health research hermitage tennessee united states pinnacle clinical research austin texas united states doctors hospital at renaissance edinburg texas united states pinnacle clinical research san antonio texas united states texas digestive disease consultants southlake texas united states harborview medical center seattle washington united states university of washington medical center seattle washington united states ,https://ClinicalTrials.gov/ProvidedDocs/44/NCT03656744/Prot_000.pdf
780,NCT01419535,Completed,endocrine disease diabetes ,eunice kennedy shriver national institute of child health and human development nichd national institute of diabetes and digestive and kidney diseases niddk national institutes of health clinical center cc , years to  years   adult older adult ,nih ,allocation randomized intervention model crossover assignment masking triple participant care provider investigator primary purpose treatment ,national institutes of health clinical center  rockville pike bethesda maryland united states ,https://ClinicalTrials.gov/ProvidedDocs/35/NCT01419535/Prot_SAP_000.pdf
781,NCT03463941,Completed,peer support and chronic disease obesity type ii diabetes cardiovascular disease cancer ,duke university national institute of nursing research ninr , years and older   adult older adult ,other nih ,allocation na intervention model single group assignment masking none open label primary purpose prevention ,faithful families program raleigh north carolina united states ,https://ClinicalTrials.gov/ProvidedDocs/41/NCT03463941/Prot_SAP_000.pdf
782,NCT03960333,Not Completed,obesity type 2 diabetes mellitus insulin resistance ,arkansas childrens hospital research institute national institutes of health nih national institute of general medical sciences nigms university of arkansas , years to  years   child ,other nih ,observational model other time perspective cro,arkansas childrens research institute little rock arkansas united states ,https://ClinicalTrials.gov/ProvidedDocs/33/NCT03960333/Prot_SAP_000.pdf
783,NCT03188263,Completed,prediabetes circadian dysregulation ,northwestern university rush university , years to  years   adult older adult ,other ,allocation randomized intervention model parallel assignment masking triple participant investigator outcomes assessor primary purpose treatment ,northwestern memorial hospital chicago illinois united states ,https://ClinicalTrials.gov/ProvidedDocs/63/NCT03188263/Prot_SAP_ICF_000.pdf
